	AIDS	cancer	cardiac hypertrophy	gastric cancer	glioma	non-small cell lung cancer	barretts Esophagus	esophageal adenocarcinoma	lung cancer	nasopharyngeal carcinoma	dilated cardiomyopathy	HCV	human spinocerebellar ataxia type 8	Spinocerebellar ataxia type 8	Alzheimers disease	Inclusion body myositis	melanoma	colorectal cancer	papillary thyroid carcinoma	osteosarcoma	breast cancer	aging	cervical cancer	oesophagus cancer	ovarian cancer	parotid cancer	tongue cancer	depression	Huntingtons disease	psychiatric disease	schizophrenia	testicular cancer	blepharophimosis syndrome	prostat	endometrial cancer	carcinoma	colon cancer	gallbladder cancer	esophageal squamous cell carcinoma	acute myeloid leukemia	abdominal aortic aneurysm	acute lymphoblastic leukemia	aortic aneurysm	atherosclerosis	basal cell carcinoma	Cardiovascular disease	coronary artery disease	coronary disease	coronary heart disease	Diabetes	endometriosis	Esophageal squamous cell cancer	familial and sporadic intracranial aneurysms	Glaucoma	hereditary cutaneous malignant melanoma	intracranial aneurism	ischemic stroke	leukemia	myocardial infarction	neural system tumors syndrome	Neurofibromatosis type 1	periodontitis	peripheral artery disease	Plexiform neurofibroma	Stroke	tumor	type 2 diabetes	cat eye syndrome	adolescent idiopathic scoliosis	bone diseases	postmenopausal osteoporosis	hepatocellular carcinoma	prostate cancer	bipolar disorder	panic disorder	Pancreatic ductal adenocarcinoma	DiGeorge syndrome	velocardiofacial syndrome	affective disorders	Autism spectrum disorder	Major depression	chronic lymphocytic leukemia	lymphocytic leukemia	lymphoma	myeloma	myotonic dystrophy type 1	embryonal carcinoma	oral squamous cell carcinoma	autoimmune disease	B-cell neoplasms	kidney cancer	systemic lupus erythaematosus	bladder cancer	lung adenocarcinoma	multiple myeloma	pancreatic cancer	renal cell carcinoma	pseudohypoparathyroidism type Ib	adrenocortical carcinomas	Beckwith-Wiedemann syndrome	biparental complete hydatidiform moles	choricarcinoma	chronic myeloproliferative disorders	Congenital hyperinsulinism	germ cell tumor	gestational choriocarcinoma	gestational trophoblastic diseases	glioblastoma	growth restriction	hematopoiesis	hepatocelluar carcinoma	hyperhomocysteinemia	infertility	liver cancer	Mareks disease	Medulloblastoma	Meningioma	Mullerian aplasia	myeloproliferative polycythaemia vera	neural tube defects	neuroblastoma	obesity	pheochromocytoma	Pituitary adenoma	Prader-Willi syndrome	pre-eclampsia	Silver-Russell syndrome	trophoblastic tumor	Wiedemann-Beckwith syndrome	Wilms tumor	chronic myeloid leukemia	esophageal cancer	renal cancer	adenocarcinoma	oesophageal adenocarcinoma	epithelial ovarian cancer	gastrointestinal cancer	laryngeal squamous cell carcinoma	oesophageal squamous cell carcinoma	pancreas cancer	rheumatoid arthritis	small cell lung cancer	non-functioning pituitary adenoma	serous ovarian cancer	transient neonatal diabetes mellitus	multiple sclerosis	type 1 diabetes	narcolepsy	decreased myogenesis	uterus cancer	renal cell carcinoma (RCC)	diabetes mellitus	clear cell renal cell carcinoma	heroin abuse	myelodysplastic syndrome	nonfunctioning pituitary adenomas	drug abuse	myopia	diffuse large B-cell lymphoma	Burkitts lymphoma	squamous-cell lung carcinomas	Downs syndrome	glucose metabolism disorder	Parkinsons disease	psoriasis	Burkitts lymphomas	cleft lip	diabetic nephropathy	Hodgkins lymphoma	murine plasmacytomas	rhabdomyosarcoma	Spinocerebellar ataxia type 7	cardiomyopathy	Human Dilated Cardiomyopathy	dyskeratosis congenita	squamous carcinoma	tongue squamous cell carcinomas	Klinefelters syndrome
Silver-Russell syndrome	0.07496322	0.176370951	0.226732089	0.093360272	0.07496322	0.07496322	0.109892388	0.07496322	0.093360272	0.082379097	0.082379097	0.135412554	0.082379097	0.082379097	0.082379097	0.176370951	0.109892388	0.07496322	0.07496322	0.07496322	0.093360272	0.226732089	0.082379097	0.093360272	0.082379097	0.07496322	0.082379097	0.109892388	0.226732089	0.135412554	0.109892388	0.082379097	0.07496322	0.109892388	0.07496322	0.109892388	0.069898901	0.082379097	0.07496322	0.069898901	0.07496322	0.066414066	0.082379097	0.07496322	0.07496322	0.176370951	0.093360272	0.093360272	0.093360272	0.093360272	0.109892388	0.07496322	0.069898901	0.069898901	0.07496322	0.069898901	0.093360272	0.082379097	0.082379097	0.109892388	0.226732089	0.082379097	0.093360272	0.069898901	0.093360272	0.176370951	0.082379097	0.093360272	0.07496322	0.109892388	0.07496322	0.07496322	0.082379097	0.109892388	0.109892388	0.069898901	0.093360272	0.605211212	0.109892388	0.109892388	0.109892388	0.069898901	0.07496322	0.082379097	0.07496322	0.069898901	0.082379097	0.082379097	0.093360272	0.066414066	0.093360272	0.109892388	0.082379097	0.069898901	0.069898901	0.093360272	0.07496322	0.109892388	0.07496322	0.176370951	0.07496322	0.07496322	0.069898901	0.093360272	0.109892388	0.069898901	0.07496322	0.07496322	0.07496322	0.135412554	0.07496322	0.109892388	0.135412554	0.093360272	0.082379097	0.069898901	0.082379097	0.082379097	0.082379097	0.246397354	0.07496322	0.093360272	0.07496322	0.093360272	0.605211212	0.082379097	1	0.082379097	0.266881514	0.082379097	0.069898901	0.093360272	0.093360272	0.093360272	0.07496322	0.07496322	0.093360272	0.07496322	0.07496322	0.082379097	0.07496322	0.07496322	0.082379097	0.064003532	0.07496322	0.082379097	0.082379097	0.135412554	0.135412554	0.082379097	0.07496322	0.093360272	0.069898901	0.082379097	0.07496322	0.082379097	0.109892388	0.07496322	0.066414066	0.064003532	0.069898901	0.605211212	0.109892388	0.082379097	0.109892388	0.064003532	0.135412554	0.109892388	0.07496322	0.062330081	0.07496322	0.082379097	0.109892388	0.082379097	0.109892388	0.093360272	0.07496322	0.605211212
trophoblastic tumor	0.032258637	0.517415251	0.047619921	0.21283189	0.144176356	0.144176356	0.061343273	0.144176356	0.21283189	0.17190262	0.03846223	0.082379097	0.03846223	0.03846223	0.03846223	0.115768709	0.453010236	0.144176356	0.144176356	0.144176356	0.21283189	0.047619921	0.17190262	0.21283189	0.17190262	0.144176356	0.17190262	0.061343273	0.047619921	0.082379097	0.061343273	0.17190262	0.032258637	0.061343273	0.144176356	0.453010236	0.125202196	0.17190262	0.144176356	0.125202196	0.032258637	0.112126961	0.03846223	0.032258637	0.144176356	0.115768709	0.047619921	0.047619921	0.047619921	0.047619921	0.061343273	0.144176356	0.028013277	0.028013277	0.144176356	0.028013277	0.047619921	0.17190262	0.03846223	0.274166874	0.047619921	0.03846223	0.047619921	0.125202196	0.047619921	0.517415251	0.03846223	0.047619921	0.032258637	0.061343273	0.032258637	0.144176356	0.17190262	0.061343273	0.061343273	0.125202196	0.047619921	0.082379097	0.061343273	0.061343273	0.061343273	0.125202196	0.144176356	0.17190262	0.144176356	0.028013277	0.444229946	0.17190262	0.047619921	0.112126961	0.21283189	0.061343273	0.17190262	0.125202196	0.125202196	0.21283189	0.144176356	0.061343273	0.144176356	0.115768709	0.838709477	0.144176356	0.125202196	0.047619921	0.708500752	0.125202196	0.838709477	0.23822486	0.078342404	0.082379097	0.144176356	0.061343273	0.082379097	0.21283189	0.17190262	0.125202196	0.17190262	0.03846223	0.03846223	0.17181763	0.144176356	0.047619921	0.144176356	0.115648379	0.082379097	0.03846223	0.082379097	1	0.061343273	0.17190262	0.125202196	0.21283189	0.21283189	0.351665478	0.144176356	0.144176356	0.21283189	0.144176356	0.144176356	0.17190262	0.032258637	0.144176356	0.093408273	0.103073547	0.032258637	0.03846223	0.03846223	0.082379097	0.082379097	0.17190262	0.144176356	0.047619921	0.125202196	0.03846223	0.144176356	0.093408273	0.061343273	0.032258637	0.112126961	0.103073547	0.125202196	0.082379097	0.061343273	0.03846223	0.061343273	0.103073547	0.082379097	0.061343273	0.144176356	0.096784112	0.144176356	0.03846223	0.061343273	0.03846223	0.061343273	0.351665478	0.144176356	0.082379097
Wiedemann-Beckwith syndrome	0.054521373	0.14710564	0.319248128	0.071429946	0.054521373	0.054521373	0.086581804	0.054521373	0.071429946	0.061343273	0.061343273	0.109892388	0.061343273	0.061343273	0.061343273	0.14710564	0.086581804	0.054521373	0.054521373	0.054521373	0.071429946	0.319248128	0.061343273	0.071429946	0.061343273	0.054521373	0.061343273	0.086581804	0.319248128	0.109892388	0.086581804	0.061343273	0.054521373	0.086581804	0.054521373	0.086581804	0.049857993	0.061343273	0.054521373	0.049857993	0.054521373	0.046646837	0.061343273	0.054521373	0.054521373	0.14710564	0.071429946	0.071429946	0.071429946	0.071429946	0.086581804	0.054521373	0.049857993	0.049857993	0.054521373	0.049857993	0.071429946	0.061343273	0.061343273	0.086581804	0.319248128	0.061343273	0.071429946	0.049857993	0.071429946	0.14710564	0.061343273	0.071429946	0.054521373	0.086581804	0.054521373	0.054521373	0.061343273	0.086581804	0.086581804	0.049857993	0.071429946	0.266881514	0.086581804	0.086581804	0.086581804	0.049857993	0.054521373	0.061343273	0.054521373	0.049857993	0.061343273	0.061343273	0.071429946	0.046646837	0.071429946	0.086581804	0.061343273	0.049857993	0.049857993	0.071429946	0.054521373	0.086581804	0.054521373	0.14710564	0.054521373	0.054521373	0.049857993	0.071429946	0.086581804	0.049857993	0.054521373	0.054521373	0.054521373	0.109892388	0.054521373	0.086581804	0.109892388	0.071429946	0.061343273	0.049857993	0.061343273	0.061343273	0.061343273	0.210167445	0.054521373	0.071429946	0.054521373	0.071429946	0.266881514	0.061343273	0.266881514	0.061343273	1	0.061343273	0.049857993	0.071429946	0.071429946	0.071429946	0.054521373	0.054521373	0.071429946	0.054521373	0.054521373	0.061343273	0.054521373	0.054521373	0.061343273	0.044424556	0.054521373	0.061343273	0.061343273	0.109892388	0.109892388	0.061343273	0.054521373	0.071429946	0.049857993	0.061343273	0.054521373	0.061343273	0.086581804	0.054521373	0.046646837	0.044424556	0.049857993	0.266881514	0.086581804	0.061343273	0.086581804	0.044424556	0.109892388	0.086581804	0.054521373	0.042881285	0.054521373	0.061343273	0.086581804	0.061343273	0.086581804	0.071429946	0.054521373	0.266881514
Wilms tumor	0.032258637	0.517415251	0.047619921	0.351665478	0.23822486	0.23822486	0.061343273	0.23822486	0.351665478	0.284037401	0.03846223	0.082379097	0.03846223	0.03846223	0.03846223	0.115768709	0.274166874	0.23822486	0.23822486	0.23822486	0.351665478	0.047619921	0.284037401	0.351665478	0.284037401	0.23822486	0.284037401	0.061343273	0.047619921	0.082379097	0.061343273	0.284037401	0.032258637	0.061343273	0.23822486	0.274166874	0.206873557	0.284037401	0.23822486	0.206873557	0.032258637	0.18526914	0.03846223	0.032258637	0.23822486	0.115768709	0.047619921	0.047619921	0.047619921	0.047619921	0.061343273	0.23822486	0.028013277	0.028013277	0.23822486	0.028013277	0.047619921	0.284037401	0.03846223	0.453010236	0.047619921	0.03846223	0.047619921	0.206873557	0.047619921	0.517415251	0.03846223	0.047619921	0.032258637	0.061343273	0.032258637	0.23822486	0.284037401	0.061343273	0.061343273	0.206873557	0.047619921	0.082379097	0.061343273	0.061343273	0.061343273	0.206873557	0.23822486	0.284037401	0.23822486	0.028013277	0.17190262	0.284037401	0.047619921	0.18526914	0.833333028	0.061343273	0.444229946	0.206873557	0.206873557	0.351665478	0.564515588	0.061343273	0.23822486	0.115768709	0.144176356	0.23822486	0.206873557	0.047619921	0.274166874	0.206873557	0.144176356	0.144176356	0.078342404	0.082379097	0.23822486	0.061343273	0.082379097	0.351665478	0.284037401	0.206873557	0.284037401	0.03846223	0.03846223	0.17181763	0.23822486	0.047619921	0.23822486	0.115648379	0.082379097	0.03846223	0.082379097	0.17190262	0.061343273	1	0.206873557	0.351665478	0.833333028	0.21283189	0.23822486	0.23822486	0.351665478	0.23822486	0.23822486	0.284037401	0.032258637	0.23822486	0.093408273	0.170310041	0.032258637	0.03846223	0.03846223	0.082379097	0.082379097	0.284037401	0.564515588	0.047619921	0.490223176	0.03846223	0.23822486	0.093408273	0.061343273	0.032258637	0.18526914	0.170310041	0.206873557	0.082379097	0.061343273	0.03846223	0.061343273	0.170310041	0.082379097	0.061343273	0.23822486	0.15991791	0.23822486	0.03846223	0.061343273	0.03846223	0.061343273	0.21283189	0.23822486	0.082379097
chronic myeloid leukemia	0.022082402	0.454209032	0.036761943	0.271481054	0.163074998	0.163074998	0.049857993	0.163074998	0.271481054	0.206873557	0.028013277	0.069898901	0.028013277	0.028013277	0.028013277	0.101626678	0.222834703	0.163074998	0.163074998	0.163074998	0.271481054	0.036761943	0.206873557	0.271481054	0.206873557	0.163074998	0.206873557	0.049857993	0.036761943	0.069898901	0.049857993	0.206873557	0.022082402	0.049857993	0.163074998	0.222834703	0.133086931	0.206873557	0.163074998	0.687384851	0.022082402	0.395774731	0.028013277	0.022082402	0.163074998	0.101626678	0.036761943	0.036761943	0.036761943	0.036761943	0.049857993	0.163074998	0.018021641	0.018021641	0.163074998	0.018021641	0.036761943	0.7283321	0.028013277	0.368193283	0.036761943	0.028013277	0.036761943	0.133086931	0.036761943	0.454209032	0.028013277	0.036761943	0.022082402	0.049857993	0.022082402	0.163074998	0.206873557	0.049857993	0.049857993	0.133086931	0.036761943	0.069898901	0.049857993	0.049857993	0.049857993	0.468554247	0.57413213	0.490223176	0.38643481	0.018021641	0.125202196	0.206873557	0.036761943	0.266386647	0.271481054	0.049857993	0.206873557	0.133086931	0.315372824	0.271481054	0.163074998	0.049857993	0.163074998	0.101626678	0.098694817	0.163074998	0.315372824	0.036761943	0.222834703	0.133086931	0.098694817	0.098694817	0.053628691	0.069898901	0.163074998	0.049857993	0.069898901	0.271481054	0.490223176	0.133086931	0.206873557	0.028013277	0.028013277	0.154659246	0.163074998	0.036761943	0.163074998	0.089279004	0.069898901	0.028013277	0.069898901	0.125202196	0.049857993	0.206873557	1	0.271481054	0.271481054	0.164303377	0.163074998	0.163074998	0.271481054	0.163074998	0.163074998	0.206873557	0.022082402	0.163074998	0.068032244	0.098097872	0.022082402	0.028013277	0.028013277	0.069898901	0.069898901	0.206873557	0.163074998	0.036761943	0.133086931	0.028013277	0.38643481	0.068032244	0.049857993	0.022082402	0.266386647	0.232460113	0.133086931	0.069898901	0.049857993	0.028013277	0.049857993	0.232460113	0.069898901	0.049857993	0.38643481	0.208887367	0.163074998	0.028013277	0.049857993	0.028013277	0.049857993	0.164303377	0.163074998	0.069898901
esophageal cancer	0.041172339	0.573196756	0.057143926	0.659999252	0.304051121	0.304051121	0.071429946	0.720502458	0.421998728	0.549999175	0.047619921	0.093360272	0.047619921	0.047619921	0.047619921	0.128249503	0.319248128	0.475531084	0.304051121	0.304051121	0.421998728	0.057143926	0.351665478	1	0.351665478	0.475531084	0.549999175	0.071429946	0.057143926	0.093360272	0.071429946	0.351665478	0.041172339	0.071429946	0.304051121	0.319248128	0.424592019	0.549999175	0.720502458	0.271481054	0.041172339	0.24904353	0.047619921	0.041172339	0.304051121	0.128249503	0.057143926	0.057143926	0.057143926	0.057143926	0.071429946	0.720502458	0.036761943	0.036761943	0.304051121	0.036761943	0.057143926	0.351665478	0.047619921	0.527498701	0.057143926	0.047619921	0.057143926	0.271481054	0.057143926	0.573196756	0.047619921	0.057143926	0.041172339	0.071429946	0.041172339	0.475531084	0.351665478	0.071429946	0.071429946	0.271481054	0.057143926	0.093360272	0.071429946	0.071429946	0.071429946	0.271481054	0.304051121	0.351665478	0.304051121	0.036761943	0.21283189	0.549999175	0.057143926	0.24904353	0.421998728	0.071429946	0.351665478	0.271481054	0.271481054	0.421998728	0.304051121	0.071429946	0.304051121	0.128249503	0.184015148	0.304051121	0.271481054	0.057143926	0.319248128	0.271481054	0.184015148	0.184015148	0.099989966	0.093360272	0.475531084	0.071429946	0.093360272	0.659999252	0.351665478	0.271481054	0.351665478	0.047619921	0.047619921	0.187036889	0.304051121	0.057143926	0.304051121	0.138778105	0.093360272	0.047619921	0.093360272	0.21283189	0.071429946	0.351665478	0.271481054	1	0.421998728	0.255398362	0.720502458	0.304051121	0.659999252	0.304051121	0.720502458	0.351665478	0.041172339	0.304051121	0.115648379	0.233510809	0.041172339	0.047619921	0.047619921	0.093360272	0.093360272	0.351665478	0.304051121	0.057143926	0.271481054	0.047619921	0.304051121	0.115648379	0.071429946	0.041172339	0.24904353	0.233510809	0.271481054	0.093360272	0.071429946	0.047619921	0.071429946	0.233510809	0.093360272	0.071429946	0.304051121	0.222721734	0.304051121	0.047619921	0.071429946	0.047619921	0.071429946	0.255398362	0.475531084	0.093360272
renal cancer	0.041172339	0.573196756	0.057143926	0.421998728	0.304051121	0.304051121	0.071429946	0.304051121	0.421998728	0.351665478	0.047619921	0.093360272	0.047619921	0.047619921	0.047619921	0.128249503	0.319248128	0.304051121	0.304051121	0.304051121	0.421998728	0.057143926	0.351665478	0.421998728	0.351665478	0.304051121	0.351665478	0.071429946	0.057143926	0.093360272	0.071429946	0.351665478	0.041172339	0.071429946	0.304051121	0.319248128	0.271481054	0.351665478	0.304051121	0.271481054	0.041172339	0.24904353	0.047619921	0.041172339	0.304051121	0.128249503	0.057143926	0.057143926	0.057143926	0.057143926	0.071429946	0.304051121	0.036761943	0.036761943	0.304051121	0.036761943	0.057143926	0.351665478	0.047619921	0.527498701	0.057143926	0.047619921	0.057143926	0.271481054	0.057143926	0.573196756	0.047619921	0.057143926	0.041172339	0.071429946	0.041172339	0.304051121	0.351665478	0.071429946	0.071429946	0.271481054	0.057143926	0.093360272	0.071429946	0.071429946	0.071429946	0.271481054	0.304051121	0.351665478	0.304051121	0.036761943	0.21283189	0.351665478	0.057143926	0.24904353	1	0.071429946	0.549999175	0.271481054	0.271481054	0.421998728	0.720502458	0.071429946	0.304051121	0.128249503	0.184015148	0.304051121	0.271481054	0.057143926	0.319248128	0.271481054	0.184015148	0.184015148	0.099989966	0.093360272	0.304051121	0.071429946	0.093360272	0.421998728	0.351665478	0.271481054	0.351665478	0.047619921	0.047619921	0.187036889	0.304051121	0.057143926	0.304051121	0.138778105	0.093360272	0.047619921	0.093360272	0.21283189	0.071429946	0.833333028	0.271481054	0.421998728	1	0.255398362	0.304051121	0.304051121	0.421998728	0.304051121	0.304051121	0.351665478	0.041172339	0.304051121	0.115648379	0.233510809	0.041172339	0.047619921	0.047619921	0.093360272	0.093360272	0.351665478	0.720502458	0.057143926	0.643321971	0.047619921	0.304051121	0.115648379	0.071429946	0.041172339	0.24904353	0.233510809	0.271481054	0.093360272	0.071429946	0.047619921	0.071429946	0.233510809	0.093360272	0.071429946	0.304051121	0.222721734	0.304051121	0.047619921	0.071429946	0.047619921	0.071429946	0.255398362	0.304051121	0.093360272
adenocarcinoma	0.041172339	0.573196756	0.057143926	0.255398362	0.184015148	0.184015148	0.071429946	0.184015148	0.255398362	0.21283189	0.047619921	0.093360272	0.047619921	0.047619921	0.047619921	0.128249503	0.527498701	0.184015148	0.184015148	0.184015148	0.255398362	0.057143926	0.21283189	0.255398362	0.21283189	0.184015148	0.21283189	0.071429946	0.057143926	0.093360272	0.071429946	0.21283189	0.041172339	0.071429946	0.184015148	0.824999519	0.164303377	0.21283189	0.184015148	0.164303377	0.041172339	0.150723937	0.047619921	0.041172339	0.184015148	0.128249503	0.057143926	0.057143926	0.057143926	0.057143926	0.071429946	0.184015148	0.036761943	0.036761943	0.184015148	0.036761943	0.057143926	0.21283189	0.047619921	0.319248128	0.057143926	0.047619921	0.057143926	0.164303377	0.057143926	0.573196756	0.047619921	0.057143926	0.041172339	0.071429946	0.041172339	0.184015148	0.21283189	0.071429946	0.071429946	0.164303377	0.057143926	0.093360272	0.071429946	0.071429946	0.071429946	0.164303377	0.184015148	0.21283189	0.184015148	0.036761943	0.351665478	0.21283189	0.057143926	0.150723937	0.255398362	0.071429946	0.21283189	0.164303377	0.164303377	0.255398362	0.184015148	0.071429946	0.184015148	0.128249503	0.304051121	0.184015148	0.164303377	0.057143926	0.527498701	0.164303377	0.304051121	0.304051121	0.099989966	0.093360272	0.184015148	0.071429946	0.093360272	0.255398362	0.21283189	0.164303377	0.21283189	0.047619921	0.047619921	0.187036889	0.184015148	0.057143926	0.184015148	0.138778105	0.093360272	0.047619921	0.093360272	0.351665478	0.071429946	0.21283189	0.164303377	0.255398362	0.255398362	1	0.184015148	0.184015148	0.255398362	0.184015148	0.184015148	0.21283189	0.041172339	0.184015148	0.115648379	0.14132336	0.041172339	0.047619921	0.047619921	0.093360272	0.093360272	0.21283189	0.184015148	0.057143926	0.164303377	0.047619921	0.184015148	0.115648379	0.071429946	0.041172339	0.150723937	0.14132336	0.164303377	0.093360272	0.071429946	0.047619921	0.071429946	0.14132336	0.093360272	0.071429946	0.184015148	0.13479369	0.184015148	0.047619921	0.071429946	0.047619921	0.071429946	0.659999252	0.184015148	0.093360272
oesophageal adenocarcinoma	0.026217688	0.479833079	0.041172339	0.475531084	0.193613418	0.193613418	0.054521373	1	0.304051121	0.372579866	0.032258637	0.07496322	0.032258637	0.032258637	0.032258637	0.107359913	0.243677156	0.302808285	0.193613418	0.193613418	0.304051121	0.041172339	0.23822486	0.720502458	0.23822486	0.302808285	0.372579866	0.054521373	0.041172339	0.07496322	0.054521373	0.23822486	0.026217688	0.054521373	0.193613418	0.243677156	0.255046685	0.372579866	0.681647619	0.163074998	0.026217688	0.142026452	0.032258637	0.026217688	0.193613418	0.107359913	0.041172339	0.041172339	0.041172339	0.041172339	0.054521373	0.681647619	0.022082402	0.022082402	0.193613418	0.022082402	0.041172339	0.23822486	0.032258637	0.402631596	0.041172339	0.032258637	0.041172339	0.163074998	0.041172339	0.479833079	0.032258637	0.041172339	0.026217688	0.054521373	0.026217688	0.302808285	0.23822486	0.054521373	0.054521373	0.163074998	0.041172339	0.07496322	0.054521373	0.054521373	0.054521373	0.163074998	0.193613418	0.23822486	0.193613418	0.022082402	0.144176356	0.372579866	0.041172339	0.142026452	0.304051121	0.054521373	0.23822486	0.163074998	0.163074998	0.304051121	0.193613418	0.054521373	0.193613418	0.107359913	0.117177012	0.193613418	0.163074998	0.041172339	0.243677156	0.163074998	0.117177012	0.117177012	0.063671527	0.07496322	0.302808285	0.054521373	0.07496322	0.475531084	0.23822486	0.163074998	0.23822486	0.032258637	0.032258637	0.161604275	0.193613418	0.041172339	0.193613418	0.099989966	0.07496322	0.032258637	0.07496322	0.144176356	0.054521373	0.23822486	0.163074998	0.720502458	0.304051121	0.184015148	1	0.193613418	0.475531084	0.193613418	0.681647619	0.23822486	0.026217688	0.193613418	0.078342404	0.12745019	0.026217688	0.032258637	0.032258637	0.07496322	0.07496322	0.23822486	0.193613418	0.041172339	0.163074998	0.032258637	0.193613418	0.078342404	0.054521373	0.026217688	0.142026452	0.12745019	0.163074998	0.07496322	0.054521373	0.032258637	0.054521373	0.12745019	0.07496322	0.054521373	0.193613418	0.117323027	0.193613418	0.032258637	0.054521373	0.032258637	0.054521373	0.184015148	0.302808285	0.07496322
epithelial ovarian cancer	0.026217688	0.479833079	0.041172339	0.304051121	0.193613418	0.193613418	0.054521373	0.193613418	0.304051121	0.23822486	0.032258637	0.07496322	0.032258637	0.032258637	0.032258637	0.107359913	0.243677156	0.193613418	0.193613418	0.193613418	0.304051121	0.041172339	0.564515588	0.304051121	0.838709477	0.193613418	0.23822486	0.054521373	0.041172339	0.07496322	0.054521373	0.372579866	0.026217688	0.054521373	0.458800952	0.243677156	0.163074998	0.23822486	0.193613418	0.163074998	0.026217688	0.142026452	0.032258637	0.026217688	0.193613418	0.107359913	0.041172339	0.041172339	0.041172339	0.041172339	0.054521373	0.193613418	0.022082402	0.022082402	0.193613418	0.022082402	0.041172339	0.23822486	0.032258637	0.402631596	0.041172339	0.032258637	0.041172339	0.163074998	0.041172339	0.479833079	0.032258637	0.041172339	0.026217688	0.054521373	0.026217688	0.193613418	0.372579866	0.054521373	0.054521373	0.163074998	0.041172339	0.07496322	0.054521373	0.054521373	0.054521373	0.163074998	0.193613418	0.23822486	0.193613418	0.022082402	0.144176356	0.23822486	0.041172339	0.142026452	0.304051121	0.054521373	0.23822486	0.163074998	0.163074998	0.304051121	0.193613418	0.054521373	0.193613418	0.107359913	0.117177012	0.458800952	0.163074998	0.041172339	0.243677156	0.38643481	0.117177012	0.117177012	0.063671527	0.07496322	0.193613418	0.054521373	0.07496322	0.304051121	0.23822486	0.163074998	0.23822486	0.032258637	0.032258637	0.161604275	0.193613418	0.041172339	0.193613418	0.099989966	0.07496322	0.032258637	0.07496322	0.144176356	0.054521373	0.23822486	0.163074998	0.304051121	0.304051121	0.184015148	0.193613418	1	0.304051121	0.193613418	0.193613418	0.23822486	0.026217688	0.193613418	0.078342404	0.65827147	0.026217688	0.032258637	0.032258637	0.07496322	0.07496322	0.564515588	0.193613418	0.041172339	0.163074998	0.032258637	0.193613418	0.078342404	0.054521373	0.026217688	0.142026452	0.12745019	0.163074998	0.07496322	0.054521373	0.032258637	0.054521373	0.12745019	0.07496322	0.054521373	0.193613418	0.117323027	0.193613418	0.032258637	0.054521373	0.032258637	0.054521373	0.184015148	0.193613418	0.07496322
gastrointestinal cancer	0.041172339	0.573196756	0.057143926	0.659999252	0.304051121	0.304051121	0.071429946	0.475531084	0.421998728	0.549999175	0.047619921	0.093360272	0.047619921	0.047619921	0.047619921	0.128249503	0.319248128	0.475531084	0.304051121	0.304051121	0.421998728	0.057143926	0.351665478	0.659999252	0.351665478	0.475531084	0.549999175	0.071429946	0.057143926	0.093360272	0.071429946	0.351665478	0.041172339	0.071429946	0.304051121	0.319248128	0.424592019	0.549999175	0.475531084	0.271481054	0.041172339	0.24904353	0.047619921	0.041172339	0.304051121	0.128249503	0.057143926	0.057143926	0.057143926	0.057143926	0.071429946	0.475531084	0.036761943	0.036761943	0.304051121	0.036761943	0.057143926	0.351665478	0.047619921	0.527498701	0.057143926	0.047619921	0.057143926	0.271481054	0.057143926	0.573196756	0.047619921	0.057143926	0.041172339	0.071429946	0.041172339	0.475531084	0.351665478	0.071429946	0.071429946	0.271481054	0.057143926	0.093360272	0.071429946	0.071429946	0.071429946	0.271481054	0.304051121	0.351665478	0.304051121	0.036761943	0.21283189	0.549999175	0.057143926	0.24904353	0.421998728	0.071429946	0.351665478	0.271481054	0.271481054	0.421998728	0.304051121	0.071429946	0.304051121	0.128249503	0.184015148	0.304051121	0.271481054	0.057143926	0.319248128	0.271481054	0.184015148	0.184015148	0.099989966	0.093360272	0.475531084	0.071429946	0.093360272	0.659999252	0.351665478	0.271481054	0.351665478	0.047619921	0.047619921	0.187036889	0.304051121	0.057143926	0.304051121	0.138778105	0.093360272	0.047619921	0.093360272	0.21283189	0.071429946	0.351665478	0.271481054	0.659999252	0.421998728	0.255398362	0.475531084	0.304051121	1	0.304051121	0.475531084	0.351665478	0.041172339	0.304051121	0.115648379	0.233510809	0.041172339	0.047619921	0.047619921	0.093360272	0.093360272	0.351665478	0.304051121	0.057143926	0.271481054	0.047619921	0.304051121	0.115648379	0.071429946	0.041172339	0.24904353	0.233510809	0.271481054	0.093360272	0.071429946	0.047619921	0.071429946	0.233510809	0.093360272	0.071429946	0.304051121	0.222721734	0.304051121	0.047619921	0.071429946	0.047619921	0.071429946	0.255398362	0.475531084	0.093360272
